Nazwa,Adres,Adres do mapy,Typ kuchni,Dzielnica,Ceny,Ocena,Opinii,Opis,Godziny,Pieszo Rama9,Pieszo Sukh101,Link
Twenty-Seven Bites Brasserie at Radisson Blu Plaza Bangkok,"Radisson Blu Plaza Bangkok, 489, ถ. สุขุมวิท แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110, Thailand","Radisson Blu Plaza Bangkok, 489, ถ. สุขุมวิท แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110, Thailand",Bufet,,,4.4,77,"Twenty-Seven Bites Brasserie oferuje bogate bufety, w których warto spróbować świeżych krabów błotnych, krewetek tygrysich, pieczonej wołowiny oraz chwalonych dań kuchni indyjskiej. Miejsce wyróżnia się wyjątkowo urozmaiconą ofertą śniadaniową oraz wysokiej jakości sushi i sashimi, które cieszą się dużym uznaniem gości. Całość dopełnia bardzo uważna i przyjazna obsługa oraz ciekawe desery przygotowywane na zamówienie.",Pon: 6:00 AM – 10:00 PM | Wt: 6:00 AM – 10:00 PM | Śr: 6:00 AM – 10:00 PM | Czw: 6:00 AM – 10:00 PM | Pt: 6:00 AM – 10:00 PM | Sob: 6:00 AM – 10:00 PM | Ndz: 6:00 AM – 10:00 PM,2.9,7.3,https://www.google.com/maps/search/?api=1&query=Radisson+Blu+Plaza+Bangkok%2C+489%2C+%E0%B8%96.+%E0%B8%AA%E0%B8%B8%E0%B8%82%E0%B8%B8%E0%B8%A1%E0%B8%A7%E0%B8%B4%E0%B8%97+%E0%B9%81%E0%B8%82%E0%B8%A7%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%95%E0%B8%A2%E0%B9%80%E0%B8%AB%E0%B8%99%E0%B8%B7%E0%B8%AD+%E0%B9%80%E0%B8%82%E0%B8%95%E0%B8%A7%E0%B8%B1%E0%B8%92%E0%B8%99%E0%B8%B2+%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3+10110%2C+Thailand&query_place_id=ChIJWSBNz--f4jARSK1RTVjlkRY
The Berkeley Dining Room,"ประตูน้ำเซ็นเตอร์ Khwaeng Makkasan, Khet Ratchathewi, Krung Thep Maha Nakhon 10400, Thailand","ประตูน้ำเซ็นเตอร์ Khwaeng Makkasan, Khet Ratchathewi, Krung Thep Maha Nakhon 10400, Thailand",Bufet,Ratchathewi,,4.5,70,"The Berkeley Dining Room oferuje bogate bufety śniadaniowe, ceniony bufet dim sum oraz owoce morza serwowane w stylu fine dining z użyciem składników premium. W menu ala carte goście szczególnie polecają dopracowany wizualnie Pad Thai z grillowaną krewetką rzeczną oraz dania przygotowywane ze świeżych produktów z dużą pasją. Miejsce wyróżnia się ogromną przestrzenią oraz profesjonalną i uprzejmą obsługą, choć warto zaplanować wizytę wcześniej, by uniknąć porannego tłumu.",Pon: 6:00 AM – 10:00 PM | Wt: 6:00 AM – 10:00 PM | Śr: 6:00 AM – 10:00 PM | Czw: 6:00 AM – 10:00 PM | Pt: 6:00 AM – 10:00 PM | Sob: 6:00 AM – 10:00 PM | Ndz: 6:00 AM – 10:00 PM,3.4,10.6,https://www.google.com/maps/search/?api=1&query=%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%95%E0%B8%B9%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B9%80%E0%B8%8B%E0%B9%87%E0%B8%99%E0%B9%80%E0%B8%95%E0%B8%AD%E0%B8%A3%E0%B9%8C+Khwaeng+Makkasan%2C+Khet+Ratchathewi%2C+Krung+Thep+Maha+Nakhon+10400%2C+Thailand&query_place_id=ChIJ37aGJyGf4jARUpUvg3vFkMw
Ploenchit All Day Dining Restaurant,"level 8, 566 Thanon Phloen Chit, Khwaeng Lumphini, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand","level 8, 566 Thanon Phloen Chit, Khwaeng Lumphini, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",Bufet,Pathum Wan,,4.4,11,"Ploenchit All Day Dining specjalizuje się w bogatych bufetach, oferując m.in. kolacje z owocami morza (kraby błękitne, krewetki, małże) przyrządzanymi na życzenie z tajskimi przyprawami oraz chwalone śniadaniowe curry z kurczaka i warzywa kailan. Choć miejsce wyróżnia się dużym wyborem dań i wyrazistymi smakami, opinie gości na temat świeżości niektórych produktów oraz jakości obsługi są zróżnicowane.",Pon: 6:00 AM – 2:30 PM | Wt: 6:00 AM – 2:30 PM | Śr: 6:00 AM – 2:30 PM | Czw: 6:00 AM – 10:00 PM | Pt: 6:00 AM – 10:00 PM | Sob: 6:00 AM – 10:00 PM | Ndz: 6:00 AM – 2:30 PM,3.4,9.1,https://www.google.com/maps/search/?api=1&query=level+8%2C+566+Thanon+Phloen+Chit%2C+Khwaeng+Lumphini%2C+Pathum+Wan%2C+Krung+Thep+Maha+Nakhon+10330%2C+Thailand&query_place_id=ChIJsQsPPgCf4jARrV6hTQk8zxg
Hua Seng Hong,"3039 Sukhumvit Rd, Khwaeng Bang Chak, Khet Phra Khanong, Krung Thep Maha Nakhon 10260, Thailand","3039 Sukhumvit Rd, Khwaeng Bang Chak, Khet Phra Khanong, Krung Thep Maha Nakhon 10260, Thailand",Chińska,Sukhumvit,$$$,4.3,2291,"Hua Seng Hong to popularna chińska restauracja idealna dla większych grup, oferująca prywatne sale oraz sprawną i troskliwą obsługę. Warto zamówić tu polecaną kaczkę, świeże ostrygi, kraba w curry oraz różnorodne Dim Sum i pieczone przegrzebki. Miejsce wyróżnia się relaksującą atmosferą oraz smacznymi, odpowiednio porcjowanymi daniami serwowanymi w przystępnych cenach.",Pon: 10:00 AM – 10:00 PM | Wt: 10:00 AM – 10:00 PM | Śr: 10:00 AM – 10:00 PM | Czw: 10:00 AM – 10:00 PM | Pt: 10:00 AM – 10:00 PM | Sob: 10:00 AM – 10:00 PM | Ndz: 10:00 AM – 10:00 PM,10.0,0.0,https://www.google.com/maps/search/?api=1&query=3039+Sukhumvit+Rd%2C+Khwaeng+Bang+Chak%2C+Khet+Phra+Khanong%2C+Krung+Thep+Maha+Nakhon+10260%2C+Thailand&query_place_id=ChIJR1u_4QCf4jARB6s_hV990GE
MALA SOCIAL (หมาล่าโซเชียล) - Bangna,"4361 Sukhumvit Rd, Khwaeng Bang Na, Khet Bang Na, Krung Thep Maha Nakhon 10260, Thailand","4361 Sukhumvit Rd, Khwaeng Bang Na, Khet Bang Na, Krung Thep Maha Nakhon 10260, Thailand",Chińska,Sukhumvit,,4.9,705,"Mala Social to lokal, w którym samodzielnie komponuje się dania ze świeżych składników na wagę, a klienci szczególnie polecają aromatyczny „dry pot” oraz zupę na bulionie z boczkiem wieprzowym i puszystym ryżem jaśminowym. Miejsce wyróżnia się wyrazistymi, autorskimi sosami i dużymi porcjami w świetnej cenie, oferując przy tym czyste, klimatyzowane wnętrze oraz bardzo przyjazną obsługę. To idealny wybór dla miłośników pikantnych smaków szukających autentycznych doświadczeń, zarówno na miejscu, jak i w dostawie.",Pon: 11:00 AM – 9:00 PM | Wt: 11:00 AM – 9:00 PM | Śr: 11:00 AM – 9:00 PM | Czw: 11:00 AM – 12:00 AM | Pt: 11:00 AM – 12:00 AM | Sob: 11:00 AM – 12:00 AM | Ndz: 11:00 AM – 9:00 PM,13.4,3.5,https://www.google.com/maps/search/?api=1&query=4361+Sukhumvit+Rd%2C+Khwaeng+Bang+Na%2C+Khet+Bang+Na%2C+Krung+Thep+Maha+Nakhon+10260%2C+Thailand&query_place_id=ChIJvzahDrWh4jARHNmw26kE8kg
Chenduli,"169/79 Thanon Ratchadaphisek, Ratchadaphisek, Khet Din Daeng, Krung Thep Maha Nakhon 10400, Thailand","169/79 Thanon Ratchadaphisek, Ratchadaphisek, Khet Din Daeng, Krung Thep Maha Nakhon 10400, Thailand",Chińska,Din Daeng,,4.8,573,"Chenduli to autentyczna restauracja syczuańska, w której warto zamówić grillowanego kurczaka z chili, kurczaka Kung Pao oraz chwalone przez gości dania z tofu. Miejsce wyróżnia się przestronną salą z okrągłymi stołami idealnymi dla grup oraz świeżymi potrawami serwowanymi w przystępnych cenach. To doskonały wybór na rodzinne obiady i spotkania po pracy, choć ze względu na dużą popularność po godzinie 19:00 bywa tam bardzo tłoczno.",Pon: 11:00 AM – 12:00 AM | Wt: 11:00 AM – 12:00 AM | Śr: 11:00 AM – 12:00 AM | Czw: 11:00 AM – 12:00 AM | Pt: 11:00 AM – 12:00 AM | Sob: 11:00 AM – 12:00 AM | Ndz: 11:00 AM – 12:00 AM,3.3,12.8,https://www.google.com/maps/search/?api=1&query=169%2F79+Thanon+Ratchadaphisek%2C+Ratchadaphisek%2C+Khet+Din+Daeng%2C+Krung+Thep+Maha+Nakhon+10400%2C+Thailand&query_place_id=ChIJkanKUpGd4jARMXHOG1c5wv0
Liu,"Level 3, 87/3 Thanon Witthayu, Khwaeng Lumphini, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand","Level 3, 87/3 Thanon Witthayu, Khwaeng Lumphini, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",Chińska,Pathum Wan,,4.6,353,"Restauracja Liu to eleganckie miejsce słynące z wyśmienitej kuchni kantońskiej, w której warto zamówić nielimitowane dim sum, polędwicę wołową oraz luksusowe pierożki z truflami i złotem. Miejsce wyróżnia się profesjonalną obsługą z pokazami parzenia herbaty „kung fu” oraz dopracowaną prezentacją dań, takich jak kaczka po tajsku czy chrupiąca ryba w sosie słodko-kwaśnym. Całość dopełnia stylowy, luksusowy wystrój, który tworzy idealną atmosferę na wyjątkowe okazje.","Pon: 11:30 AM – 2:30 PM, 6:00 – 10:00 PM | Wt: 11:30 AM – 2:30 PM, 6:00 – 10:00 PM | Śr: 11:30 AM – 2:30 PM, 6:00 – 10:00 PM | Czw: 11:30 AM – 2:30 PM, 6:00 – 10:00 PM | Pt: 11:30 AM – 2:30 PM, 6:00 – 10:00 PM | Sob: 11:30 AM – 2:30 PM, 6:00 – 10:00 PM | Ndz: 11:30 AM – 2:30 PM, 6:00 – 10:00 PM",4.0,9.7,https://www.google.com/maps/search/?api=1&query=Level+3%2C+87%2F3+Thanon+Witthayu%2C+Khwaeng+Lumphini%2C+Pathum+Wan%2C+Krung+Thep+Maha+Nakhon+10330%2C+Thailand&query_place_id=ChIJ57sRkd6e4jAR1SzWPCj3xSQ
Loong Foong Chinese Restaurant,"204 Thanon Ratchadaphisek, Khwaeng Huai Khwang, Khet Huai Khwang, Krung Thep Maha Nakhon 10310, Thailand","204 Thanon Ratchadaphisek, Khwaeng Huai Khwang, Khet Huai Khwang, Krung Thep Maha Nakhon 10310, Thailand",Chińska,Huai Khwang,,4.3,345,"Traditional, wood-paneled restaurant offering Cantonese fare, including dim sum dishes.","Pon: 11:00 AM – 2:30 PM, 5:30 – 10:00 PM | Wt: 11:00 AM – 2:30 PM, 5:30 – 10:00 PM | Śr: 11:00 AM – 2:30 PM, 5:30 – 10:00 PM | Czw: 11:00 AM – 2:30 PM, 5:30 – 10:00 PM | Pt: 11:00 AM – 2:30 PM, 5:30 – 10:00 PM | Sob: 11:00 AM – 2:30 PM, 5:30 – 10:00 PM | Ndz: 11:00 AM – 2:30 PM, 5:30 – 10:00 PM",2.8,12.3,https://www.google.com/maps/search/?api=1&query=204+Thanon+Ratchadaphisek%2C+Khwaeng+Huai+Khwang%2C+Khet+Huai+Khwang%2C+Krung+Thep+Maha+Nakhon+10310%2C+Thailand&query_place_id=ChIJJZupfICe4jARH0QZoDAXIXU
Pagoda Chinese Restaurant,"199 Sukhumvit Soi 22, Khwaeng Khlong Tan, Khet Khlong Toei, Krung Thep Maha Nakhon 10110, Thailand","199 Sukhumvit Soi 22, Khwaeng Khlong Tan, Khet Khlong Toei, Krung Thep Maha Nakhon 10110, Thailand",Chińska,Sukhumvit,,4.4,261,"Pagoda to elegancka restauracja o luksusowym, nastrojowym wystroju, która wyróżnia się spokojną atmosferą oraz wyśmienitymi mięsami pieczonymi, takimi jak chrupiący boczek czy kaczka po pekińsku serwowana w stylu hongkońskim. Goście szczególnie polecają zamówienie wybitnej zupy syczuańskiej oraz ryżu z krabem, doceniając przy tym przestronne i dopracowane wnętrza. Choć opinie o serwisie są podzielone, miejsce przyciąga osoby szukające intymnego klimatu i dopracowanych wizualnie dań kuchni chińskiej.","Pon: 11:30 AM – 2:30 PM, 6:00 – 10:00 PM | Wt: 11:30 AM – 2:30 PM, 6:00 – 10:00 PM | Śr: 11:30 AM – 2:30 PM, 6:00 – 10:00 PM | Czw: 11:30 AM – 2:30 PM, 6:00 – 10:00 PM | Pt: 11:30 AM – 2:30 PM, 6:00 – 10:00 PM | Sob: 11:30 AM – 2:30 PM, 6:00 – 10:00 PM | Ndz: 11:30 AM – 2:30 PM, 6:00 – 10:00 PM",3.5,7.4,https://www.google.com/maps/search/?api=1&query=199+Sukhumvit+Soi+22%2C+Khwaeng+Khlong+Tan%2C+Khet+Khlong+Toei%2C+Krung+Thep+Maha+Nakhon+10110%2C+Thailand&query_place_id=ChIJh7LY-5mf4jARHIx1QknG9iA
Hong Teh Restaurant,"171 Soi Sukhumvit 11, Khwaeng Khlong Toei Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand","171 Soi Sukhumvit 11, Khwaeng Khlong Toei Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",Chińska,Sukhumvit,,4.5,222,"Hong Teh Restaurant to eleganckie miejsce w hotelu Ambassador, słynące z autentycznej kuchni kantońskiej i klimatu przenoszącego gości prosto do Chin. Warto zamówić tu przede wszystkim różnorodne dim sum, kaczkę po pekińsku oraz chrupiącą wieprzowinę, a goście ceniący dietę roślinną polecają wegańską wersję kaczki i smażone grzyby. Restauracja wyróżnia się profesjonalną, szybką obsługą oraz luksusowym, sprzyjającym spotkaniom biznesowym wystrojem.",Pon: Closed | Wt: 10:00 AM – 8:30 PM | Śr: 10:00 AM – 8:30 PM | Czw: 10:00 AM – 8:30 PM | Pt: 10:00 AM – 8:30 PM | Sob: 10:00 AM – 8:30 PM | Ndz: 10:00 AM – 8:30 PM,3.1,8.5,https://www.google.com/maps/search/?api=1&query=171+Soi+Sukhumvit+11%2C+Khwaeng+Khlong+Toei+Nuea%2C+Watthana%2C+Krung+Thep+Maha+Nakhon+10110%2C+Thailand&query_place_id=ChIJQfVOhuae4jARFnzEuX-mJ0w
Yok Chinese Restaurant,"99, 1 Thanon Ratchadaphisek, Khwaeng Din Daeng, Khet Din Daeng, Krung Thep Maha Nakhon 10400, Thailand","99, 1 Thanon Ratchadaphisek, Khwaeng Din Daeng, Khet Din Daeng, Krung Thep Maha Nakhon 10400, Thailand",Chińska,Din Daeng,,4.5,123,"Yok Chinese Restaurant w hotelu The Emerald słynie z bogatego bufetu dim sum, w którym warto spróbować świeżych pierożków har gow i siu mai oraz popisowej krewetki w chrupiącym papierze fasolowym. Goście doceniają puszyste bułeczki BBQ pork buns, wyrazistą zupę ostro-kwaśną oraz profesjonalną obsługę w klasycznym, hotelowym wnętrzu. Przy większych grupach można liczyć na dodatkowe korzyści, takie jak darmowa pieczona kaczka w ramach promocji.","Pon: 11:30 AM – 2:30 PM, 6:00 – 10:00 PM | Wt: 11:30 AM – 2:30 PM, 6:00 – 10:00 PM | Śr: 11:30 AM – 2:30 PM, 6:00 – 10:00 PM | Czw: 6:00 AM – 10:00 PM | Pt: 11:30 AM – 2:30 PM, 6:00 – 10:00 PM | Sob: 6:00 – 10:00 PM, 11:30 PM – 12:00 AM | Ndz: 12:00 AM – 2:30 PM, 6:00 – 10:00 PM",2.8,12.2,https://www.google.com/maps/search/?api=1&query=99%2C+1+Thanon+Ratchadaphisek%2C+Khwaeng+Din+Daeng%2C+Khet+Din+Daeng%2C+Krung+Thep+Maha+Nakhon+10400%2C+Thailand&query_place_id=ChIJM1DOF4Ce4jARnf9LE8g4h0g
The Mulberry Chinese Cuisine,"559 Ratchaprarop Rd, Khwaeng Makkasan, Khet Ratchathewi, Krung Thep Maha Nakhon 10400, Thailand","559 Ratchaprarop Rd, Khwaeng Makkasan, Khet Ratchathewi, Krung Thep Maha Nakhon 10400, Thailand",Chińska,Ratchathewi,,4.3,102,"The Mulberry Chinese Cuisine w hotelu Berkeley to restauracja z imponującą otwartą kuchnią, słynąca z bogatego bufetu dim sum oraz świeżych owoców morza w przystępnych cenach. Warto zamówić pierożki xiao long bao, pieczoną kaczkę oraz wyjątkowe bułeczki z płynnym nadzieniem z taro lub solonego jajka, koniecznie z dodatkiem ich autorskiego oleju chili o głębokim smaku umami. Miejsce wyróżnia się sprawnym systemem zamawiania przez kody QR oraz profesjonalną obsługą, co czyni je idealnym wyborem na rodzinny lunch lub większe uroczystości.",Pon: 11:00 AM – 10:00 PM | Wt: 11:00 AM – 10:00 PM | Śr: 11:00 AM – 10:00 PM | Czw: 11:00 AM – 10:00 PM | Pt: 11:00 AM – 10:00 PM | Sob: 11:00 AM – 10:00 PM | Ndz: 11:00 AM – 10:00 PM,3.4,10.6,https://www.google.com/maps/search/?api=1&query=559+Ratchaprarop+Rd%2C+Khwaeng+Makkasan%2C+Khet+Ratchathewi%2C+Krung+Thep+Maha+Nakhon+10400%2C+Thailand&query_place_id=ChIJ-bRFwcWe4jAR5kv5STtZAIw
Chai Jia Chai 蔡家菜,"265/2 ซ. สุขุมวิท 31 Khwaeng Khlong Toei Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand","265/2 ซ. สุขุมวิท 31 Khwaeng Khlong Toei Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",Chińska,Watthana,,4.8,97,"Chai Jia Chai to elegancka restauracja serwująca nowoczesne kantońskie omakase, które łączy tradycyjne smaki Kantonu i Tajwanu z luksusową oprawą. Warto spróbować zupy ryżowej z homarem, duszonych przez 72 godziny uchowców (abalone) oraz wołowiny A5 wagyu z 20-letnią suszoną skórką mandarynki. Miejsce wyróżnia się kunsztowną prezentacją dań, nienaganną obsługą oraz możliwością bezpośredniej interakcji z szefem kuchni podczas posiłku.",Pon: 5:00 – 10:00 PM | Wt: 5:00 – 10:00 PM | Śr: 5:00 – 10:00 PM | Czw: 5:00 – 10:00 PM | Pt: 5:00 – 10:00 PM | Sob: 5:00 – 10:00 PM | Ndz: 5:00 – 10:00 PM,2.4,7.7,https://www.google.com/maps/search/?api=1&query=265%2F2+%E0%B8%8B.+%E0%B8%AA%E0%B8%B8%E0%B8%82%E0%B8%B8%E0%B8%A1%E0%B8%A7%E0%B8%B4%E0%B8%97+31+Khwaeng+Khlong+Toei+Nuea%2C+Watthana%2C+Krung+Thep+Maha+Nakhon+10110%2C+Thailand&query_place_id=ChIJ89j4snef4jARdTcWImYz-B8
Goji Kitchen+Bar,"Bangkok Marriott Marquis Queen’s Park 199 Sukhumvit Soi 22, Klong Ton Khet Khlong Toei, Krung Thep Maha Nakhon 10110, Thailand","Bangkok Marriott Marquis Queen’s Park 199 Sukhumvit Soi 22, Klong Ton Khet Khlong Toei, Krung Thep Maha Nakhon 10110, Thailand",Dim Sum,Sukhumvit,$$$$,4.6,4364,"Goji Kitchen+Bar oferuje jeden z najlepszych luksusowych bufetów w Bangkoku, serwując szeroki wachlarz dań kuchni tajskiej, indyjskiej, zachodniej i japońskiej. Warto tu zamówić przede wszystkim świeże owoce morza, takie jak homary i kraby królewskie, a także perfekcyjnie przyrządzone steki ze stacji carvingowej oraz wysokiej jakości wędliny i sery. Miejsce wyróżnia się eleganckim, przestronnym wnętrzem oraz wyjątkowo profesjonalną i uważną obsługą.",Pon: 6:00 AM – 10:00 PM | Wt: 6:00 AM – 10:00 PM | Śr: 6:00 AM – 10:00 PM | Czw: 6:00 AM – 10:00 PM | Pt: 6:00 AM – 10:00 PM | Sob: 6:00 AM – 10:00 PM | Ndz: 6:00 AM – 10:00 PM,3.5,7.4,https://www.google.com/maps/search/?api=1&query=Bangkok+Marriott+Marquis+Queen%E2%80%99s+Park+199+Sukhumvit+Soi+22%2C+Klong+Ton+Khet+Khlong+Toei%2C+Krung+Thep+Maha+Nakhon+10110%2C+Thailand&query_place_id=ChIJDf7QWt2e4jAR_P65R6dS78A
ร้านอาหารจีน ฮั่วเซ่งฮง เซ็นทรัลพระราม9 Huasenghong,"Rama IX Rd, ห้วยขวาง Khet Huai Khwang, Krung Thep Maha Nakhon 10310, Thailand","Rama IX Rd, ห้วยขวาง Khet Huai Khwang, Krung Thep Maha Nakhon 10310, Thailand",Dim Sum,Huai Khwang,$$$,4.7,1806,"Ta wywodząca się z Chinatown restauracja serwuje autentyczną kuchnię tajsko-chińską, oferując imponujący wybór ponad 150 dań, w tym znakomite dim sum i aromatyczny ryż z woka. Warto zamówić chwaloną zupę z płetwy rekina, krewetki z makaronem szklanym lub chrupiącą wieprzowinę z chili i solą. Miejsce wyróżnia się bogatą tradycją oraz przytulną atmosferą, będąc idealnym wyborem na rodzinny posiłek lub kolację w parze.",Pon: 10:00 AM – 10:00 PM | Wt: 10:00 AM – 10:00 PM | Śr: 10:00 AM – 10:00 PM | Czw: 10:00 AM – 10:00 PM | Pt: 10:00 AM – 10:00 PM | Sob: 10:00 AM – 10:00 PM | Ndz: 10:00 AM – 10:00 PM,0.6,10.2,https://www.google.com/maps/search/?api=1&query=Rama+IX+Rd%2C+%E0%B8%AB%E0%B9%89%E0%B8%A7%E0%B8%A2%E0%B8%82%E0%B8%A7%E0%B8%B2%E0%B8%87+Khet+Huai+Khwang%2C+Krung+Thep+Maha+Nakhon+10310%2C+Thailand&query_place_id=ChIJuZ6-Ho2e4jARHEBaAYreb7M
Din Tai Fung Central Embassy Branch,"546/4 5 Floor, Thanon Phloen Chit, Khwaeng Lumphini, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand","546/4 5 Floor, Thanon Phloen Chit, Khwaeng Lumphini, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",Dim Sum,Pathum Wan,$$$,4.5,1522,"To eleganckie miejsce w luksusowej galerii słynie z wyśmienitych, soczystych pierożków Xiao Long Bao oraz sezonowych specjałów z krabem i wieprzowiną. W menu wyróżniają się także aromatyczna zupa z kurczaka, chrupiąca fasolka szparagowa oraz słodkie bułeczki, serwowane w spokojnej atmosferze z nienaganną obsługą. Ze względu na dużą popularność restauracji, w godzinach szczytu warto przygotować się na oczekiwanie na wolny stolik.",Pon: 10:30 AM – 10:00 PM | Wt: 10:30 AM – 10:00 PM | Śr: 10:30 AM – 10:00 PM | Czw: 10:30 AM – 10:00 PM | Pt: 10:30 AM – 10:00 PM | Sob: 10:30 AM – 10:00 PM | Ndz: 10:30 AM – 10:00 PM,3.5,9.7,https://www.google.com/maps/search/?api=1&query=546%2F4+5+Floor%2C+Thanon+Phloen+Chit%2C+Khwaeng+Lumphini%2C+Pathum+Wan%2C+Krung+Thep+Maha+Nakhon+10330%2C+Thailand&query_place_id=ChIJYRDrn9ye4jARv5lSLzj1Z2w
Ping's Shark Fin Restaurant Asoke (The Original),"137/3 Sukhumvit 21 Rd, North Klongtoey Watthana, Krung Thep Maha Nakhon 10110, Thailand","137/3 Sukhumvit 21 Rd, North Klongtoey Watthana, Krung Thep Maha Nakhon 10110, Thailand",Dim Sum,Sukhumvit,$$$$,4.6,1316,"Ping's Shark Fin słynie z aromatycznej zupy z płetwy rekina oraz jej doskonałej alternatywy – pęcherza pławnego z krabem podawanego w glinianym garnku. Goście szczególnie polecają krewetki rzeczne z makaronem sojowym, gęsie łapki oraz smażone rolki z kraba, podkreślając bogaty smak potraw i hojne porcje. Miejsce wyróżnia się bardzo przyjazną obsługą oraz unikalną możliwością zakupu mrożonych dań na wynos z dostawą do hotelu.",Pon: 11:00 AM – 10:00 PM | Wt: 11:00 AM – 10:00 PM | Śr: 11:00 AM – 10:00 PM | Czw: 11:00 AM – 10:00 PM | Pt: 11:00 AM – 10:00 PM | Sob: 11:00 AM – 10:00 PM | Ndz: 11:00 AM – 10:00 PM,2.3,8.0,https://www.google.com/maps/search/?api=1&query=137%2F3+Sukhumvit+21+Rd%2C+North+Klongtoey+Watthana%2C+Krung+Thep+Maha+Nakhon+10110%2C+Thailand&query_place_id=ChIJnfQQnAGf4jARkEY6N_nZR74
Man Ho,"JW Marriott Hotel 4 Sukhumvit Rd, Khwaeng Khlong Toei, Khet Khlong Toei, Krung Thep Maha Nakhon 10110, Thailand","JW Marriott Hotel 4 Sukhumvit Rd, Khwaeng Khlong Toei, Khet Khlong Toei, Krung Thep Maha Nakhon 10110, Thailand",Dim Sum,Sukhumvit,,4.8,1034,"Man Ho to jedna z najlepszych restauracji chińskich w Bangkoku, wyróżniająca się wybitną kuchnią, elegancką atmosferą oraz wyjątkowo profesjonalną i serdeczną obsługą. Warto zamówić tutaj przede wszystkim pieczone prosię, świeże ryby oraz różnorodne dim sum, zwłaszcza te z krewetkami. Dodatkowym atutem jest możliwość zbierania punktów w programie Marriott Bonvoy oraz uzyskania 10% zniżki na posiłek, nawet nie będąc gościem hotelowym.","Pon: 11:30 AM – 2:30 PM, 5:30 – 10:00 PM | Wt: 11:30 AM – 2:30 PM, 5:30 – 10:00 PM | Śr: 11:30 AM – 2:30 PM, 5:30 – 10:00 PM | Czw: 11:30 AM – 2:30 PM, 5:30 – 10:00 PM | Pt: 11:30 AM – 2:30 PM, 5:30 – 10:00 PM | Sob: 11:30 AM – 3:30 PM, 5:30 – 10:00 PM | Ndz: 11:30 AM – 3:30 PM, 5:30 – 10:00 PM",3.1,8.8,https://www.google.com/maps/search/?api=1&query=JW+Marriott+Hotel+4+Sukhumvit+Rd%2C+Khwaeng+Khlong+Toei%2C+Khet+Khlong+Toei%2C+Krung+Thep+Maha+Nakhon+10110%2C+Thailand&query_place_id=ChIJ0cmlNuuf4jARBw8k3T0PAmM
